chrom	start	end	name	type	dist_716A	dist_191A
chr27_mat	1113609	1113628	Unknown_27_en_4.57-R	unknown	4690927	980520
chr27_mat	300168	300436	Unknown_27_st_0.58	unknown	5504119	167079
chr27_pat	4742030	4742250	Unknown_27_en_4.57	unknown	4713512	979599
chr27_pat	5554690	5554955	Unknown_27_st_0.58	unknown	5526172	166894
chr28_mat	5517883	5518136	Centromere_28_st_0.29	centromere	798983	5367224
chr28_mat	495465	495663	Distal_28_en_4.93	distal	5821456	344806
chr28_pat	5531123	5531382	Centromere_28_st_0.29	centromere	791671	5360734
chr28_pat	517255	517453	Distal_28_en_4.93	distal	5805600	346866
chr2_mat	73060097	73060223	Centromere_2_cen_76.29	centromere	5352242	5057789
chr2_mat	150374443	150374667	Distal_2_en_155.77	distal	71866587	72182228
chr2_pat	73121894	73122020	Centromere_2_cen_76.29	centromere	5352242	5057789
chr2_pat	150440264	150440434	Distal_2_en_155.77	distal	71870611	72186252
chr3_mat	75014253	75014523	Centromere_3_cen_40.34	centromere	3360914	3535823
chr3_mat	2846109	2846128	Distal_3_en_111.84-R	distal	75529309	75704218
chr3_pat	74977783	74978061	Centromere_3_cen_40.34	centromere	3618121	3366435
chr3_pat	2868049	2868459	Distal_3_en_111.84	distal	75727723	75476037
chr4A_mat	18561113	18561425	Centromere_4A_en_19.79	centromere	940674	898550
chr4A_mat	469837	470254	Distal_4A_st_0.45	distal	19031845	18989721
chr4A_pat	18539403	18539899	Centromere_4A_en_19.79	centromere	936886	898490
chr4A_pat	466468	466936	Distal_4A_st_0.45	distal	19009849	18971453
chr4_mat	53056639	53056925	Centromere_4_cen_16.82	centromere	2970061	2811694
chr4_mat	2682171	2682563	Distal_4_en_69.2	distal	53344423	53186056
chr4_pat	53061068	53061336	Centromere_4_cen_16.82	centromere	2743407	2928367
chr4_pat	2697727	2698069	Distal_4_en_69.2	distal	53106674	53291634
chr5_mat	64652000	64652156	Distal_5_en_62.17	distal	63531978	55900147
chr5_pat	63500513	63500532	Distal_5_en_62.17-R	distal	45007053	45412265
chr6_mat	899069	899515	Centromere_6_cen_0.89	centromere	659597	4728160
chr6_mat	36604509	36604921	Distal_6_en_35.99	distal	36365037	30559857
chr6_pat	762233	762252	Centromere_6_cen_0.89-R	centromere	594470	4780346
chr6_pat	36673885	36674269	Distal_6_en_35.99	distal	36506122	30473803
chr7_mat	5828529	5828963	Centromere_7_cen_4.65	centromere	1175738	5936263
chr7_mat	38698365	38698785	Distal_7_en_39.18	distal	34045574	26766945
chr7_pat	5726893	5727331	Centromere_7_cen_4.65	centromere	1188397	5935434
chr7_pat	38662520	38662956	Distal_7_en_39.18	distal	34124024	26770809
chr8_mat	25232926	25232944	Centromere_8_cen_1.38-R	centromere	1240168	6901792
chr8_mat	567870	568124	Distal_8_en_27.41	distal	25904988	31566612
chr8_pat	25268159	25268491	Centromere_8_cen_1.38	centromere	1240369	6907854
chr8_pat	568647	568905	Distal_8_en_27.41	distal	25939955	31607440
chr9_mat	1388340	1388718	Centromere_9_st_0.96	centromere	914383	910808
chr9_mat	25607133	25607562	Distal_9_en_26.74	distal	25133176	25129601
chr9_pat	1539549	1539927	Centromere_9_st_0.96	centromere	1208967	912104
chr9_pat	25722008	25722442	Distal_9_en_26.74	distal	25391426	25094563
chrZ_pat	35073131	35073359	Centromere_Z_cen_27.51	centromere	224451	33428314
chrZ_pat	82143277	82143557	Distal_Z_en_72.81	distal	46512394	80498460
